1.000000000000000000e+01	1.000000000000000000e+01	1.000000000000000000e+01	1.311832999999999993e+04	1.104561000000000058e+04	1.767829999999999927e+04
1.500000000000000000e+01	1.500000000000000000e+01	1.500000000000000000e+01	3.726941000000000349e+04	3.051586000000000058e+04	4.798133000000000175e+04
2.000000000000000000e+01	2.000000000000000000e+01	2.000000000000000000e+01	7.537646000000000640e+04	6.292195999999999913e+04	9.730775999999999476e+04
2.500000000000000000e+01	2.500000000000000000e+01	2.500000000000000000e+01	1.360840299999999988e+05	1.079254600000000064e+05	1.670262099999999919e+05
3.000000000000000000e+01	3.000000000000000000e+01	3.000000000000000000e+01	2.124498299999999872e+05	1.731121499999999942e+05	2.574276900000000023e+05
3.500000000000000000e+01	3.500000000000000000e+01	3.500000000000000000e+01	3.171054699999999721e+05	2.482804599999999919e+05	3.707024299999999930e+05
4.000000000000000000e+01	4.000000000000000000e+01	4.000000000000000000e+01	4.421851699999999837e+05	3.530956500000000233e+05	5.031288900000000140e+05
4.500000000000000000e+01	4.500000000000000000e+01	4.500000000000000000e+01	5.383065600000000559e+05	4.526820000000000000e+05	6.689757500000000000e+05
5.000000000000000000e+01	5.000000000000000000e+01	5.000000000000000000e+01	7.441176500000000233e+05	5.743924000000000233e+05	8.572374200000000419e+05
5.500000000000000000e+01	5.500000000000000000e+01	5.500000000000000000e+01	8.801350500000000466e+05	7.421867099999999627e+05	1.092811790000000037e+06
6.000000000000000000e+01	6.000000000000000000e+01	6.000000000000000000e+01	1.154280139999999898e+06	9.502584599999999627e+05	1.356411600000000093e+06
