0.000000000000000000e+00	9.901960784313725839e-01	1.643588109075092143e+04	4.926402500000000146e+04	1.626973071271847948e+04	1.000000000000000000e+00	4.452170999999999913e+04	7.034093152347359137e+03	1.000000000000000000e+00	6.980086999999999534e+04	1.675551497397498679e+04	1.000000000000000000e+00
1.000000000000000000e+00	9.098360655737705027e-01	1.691203620695495192e+04	5.360571499999999651e+04	1.646348034146410282e+04	1.000000000000000000e+00	5.545970999999999913e+04	9.136358720841690229e+03	1.000000000000000000e+00	8.473894500000000698e+04	2.029514174604294385e+04	1.000000000000000000e+00
2.000000000000000000e+00	8.521126760563380031e-01	1.835805185798809907e+04	5.617936499999999796e+04	1.821574872223963757e+04	1.000000000000000000e+00	6.860233500000000640e+04	1.103550554359767375e+04	1.000000000000000000e+00	1.060659949999999953e+05	2.492175593221663439e+04	1.000000000000000000e+00
3.000000000000000000e+00	8.086419753086419027e-01	2.034582071693814578e+04	6.625358000000000175e+04	2.391893694969740682e+04	1.000000000000000000e+00	8.335915499999999884e+04	1.341380839921962615e+04	1.000000000000000000e+00	1.197082299999999959e+05	3.063035467093222906e+04	1.000000000000000000e+00
4.000000000000000000e+00	7.747252747252747485e-01	2.271707384075855589e+04	6.923930499999999302e+04	2.601245208552963595e+04	1.000000000000000000e+00	9.996821000000000640e+04	1.554226279072323450e+04	1.000000000000000000e+00	1.459043250000000116e+05	3.397701401196660299e+04	1.000000000000000000e+00
5.000000000000000000e+00	7.475247524752475226e-01	2.540013159260951215e+04	8.042548500000000058e+04	2.743370440935338047e+04	1.000000000000000000e+00	1.156003399999999965e+05	1.829219236517044556e+04	1.000000000000000000e+00	1.676342099999999919e+05	4.041159811385712237e+04	1.000000000000000000e+00
6.000000000000000000e+00	7.252252252252251452e-01	2.835792188274559157e+04	9.271199499999999534e+04	2.992906374420982320e+04	1.000000000000000000e+00	1.338501950000000070e+05	2.190905427618852991e+04	1.000000000000000000e+00	1.927666900000000023e+05	4.879170806319348048e+04	1.000000000000000000e+00
7.000000000000000000e+00	7.066115702479338623e-01	3.156937961921310853e+04	1.034620149999999994e+05	3.628031432767327351e+04	1.000000000000000000e+00	1.547205899999999965e+05	2.356788429541141522e+04	1.000000000000000000e+00	2.256010199999999895e+05	5.144382469956525165e+04	1.000000000000000000e+00
8.000000000000000000e+00	6.908396946564885344e-01	3.502166269008847303e+04	1.159008549999999959e+05	3.940195539607108367e+04	1.000000000000000000e+00	1.775474500000000116e+05	2.913914057393422991e+04	1.000000000000000000e+00	2.456388850000000093e+05	5.450868800660840498e+04	1.000000000000000000e+00
9.000000000000000000e+00	6.773049645390070150e-01	3.870650208428351471e+04	1.252149850000000006e+05	4.389394499102097325e+04	1.000000000000000000e+00	1.993532000000000116e+05	2.704403067332974388e+04	1.000000000000000000e+00	2.750109199999999837e+05	6.102494835011005489e+04	1.000000000000000000e+00
1.000000000000000000e+01	6.655629139072848366e-01	4.261833535000887787e+04	1.404440700000000070e+05	5.000627102649326844e+04	1.000000000000000000e+00	2.258970400000000081e+05	3.505122512578411988e+04	1.000000000000000000e+00	3.151490499999999884e+05	7.597630316254864738e+04	1.000000000000000000e+00
1.100000000000000000e+01	6.552795031055900221e-01	4.675328430674236006e+04	1.566422000000000116e+05	4.745516466181525902e+04	1.000000000000000000e+00	2.497077200000000012e+05	3.662589260238718271e+04	1.000000000000000000e+00	3.399361400000000140e+05	8.251108653841858904e+04	1.000000000000000000e+00
1.200000000000000000e+01	6.461988304093566615e-01	5.110856311569098762e+04	1.730344700000000012e+05	6.096943685519081191e+04	1.000000000000000000e+00	2.800951649999999790e+05	3.798418067811617948e+04	1.000000000000000000e+00	3.683643350000000210e+05	8.581482785295776557e+04	1.000000000000000000e+00
